CustomerID,Cluster
C0001,2
C0002,1
C0003,1
C0004,3
C0005,1
C0006,2
C0007,1
C0008,0
C0009,1
C0010,1
C0011,2
C0012,3
C0013,3
C0014,4
C0015,4
C0016,2
C0017,3
C0018,2
C0019,2
C0020,4
C0021,3
C0022,2
C0023,2
C0024,3
C0025,1
C0026,1
C0027,1
C0028,3
C0029,1
C0030,2
C0031,1
C0032,1
C0033,4
C0034,2
C0035,1
C0036,1
C0037,2
C0038,2
C0039,2
C0040,1
C0041,3
C0042,1
C0043,1
C0044,1
C0045,3
C0046,3
C0047,3
C0048,2
C0049,3
C0050,1
C0051,3
C0052,1
C0053,2
C0054,0
C0055,2
C0056,2
C0057,2
C0058,4
C0059,0
C0060,4
C0061,1
C0062,1
C0063,4
C0064,2
C0065,0
C0066,1
C0067,2
C0068,3
C0069,2
C0070,1
C0071,1
C0072,2
C0073,1
C0074,1
C0075,0
C0076,2
C0077,1
C0078,4
C0079,2
C0080,4
C0081,2
C0082,3
C0083,1
C0084,3
C0085,1
C0086,2
C0087,3
C0088,2
C0089,4
C0090,3
C0091,2
C0092,1
C0093,3
C0094,1
C0095,4
C0096,2
C0097,4
C0098,3
C0099,0
C0100,2
C0101,3
C0102,3
C0103,2
C0104,0
C0105,2
C0106,2
C0107,2
C0108,3
C0109,0
C0110,4
C0111,1
C0112,1
C0113,3
C0114,2
C0115,1
C0116,2
C0117,2
C0118,2
C0119,1
C0120,1
C0121,1
C0122,3
C0123,4
C0124,3
C0125,1
C0126,2
C0127,2
C0128,4
C0129,1
C0130,4
C0131,1
C0132,1
C0133,1
C0134,2
C0135,1
C0136,2
C0137,2
C0138,2
C0139,3
C0140,4
C0141,0
C0142,1
C0143,3
C0144,4
C0145,3
C0146,1
C0147,3
C0148,2
C0149,2
C0150,4
C0151,4
C0152,2
C0153,2
C0154,2
C0155,3
C0156,0
C0157,1
C0158,2
C0159,1
C0160,2
C0161,3
C0162,3
C0163,2
C0164,2
C0165,3
C0166,1
C0167,1
C0168,2
C0169,2
C0170,2
C0171,2
C0172,2
C0173,3
C0174,2
C0175,0
C0176,1
C0177,1
C0178,1
C0179,2
C0181,2
C0182,2
C0183,2
C0184,2
C0185,1
C0186,1
C0187,2
C0188,0
C0189,2
C0190,2
C0191,2
C0192,1
C0193,1
C0194,3
C0195,2
C0196,2
C0197,1
C0198,4
C0199,1
C0200,2
