CustomerID,Lookalikes
C0001,"[('C0137', np.float64(0.9963323425457113)), ('C0152', np.float64(0.9869046482018122)), ('C0056', np.float64(0.9304265739853477))]"
C0002,"[('C0029', np.float64(0.9997577919968235)), ('C0199', np.float64(0.9993469209744867)), ('C0010', np.float64(0.9991818003638689))]"
C0003,"[('C0178', np.float64(0.9999491872753428)), ('C0112', np.float64(0.9995704254614541)), ('C0131', np.float64(0.9995698787270856))]"
C0004,"[('C0021', np.float64(0.9999029227541466)), ('C0075', np.float64(0.999774867626502)), ('C0108', np.float64(0.9993154296151782))]"
C0005,"[('C0073', np.float64(0.9999664651439709)), ('C0144', np.float64(0.9999535673904799)), ('C0095', np.float64(0.9999466322360929))]"
C0006,"[('C0079', np.float64(0.9998969172180884)), ('C0117', np.float64(0.9915523522623342)), ('C0196', np.float64(0.9545599462656269))]"
C0007,"[('C0085', np.float64(0.9999761995718929)), ('C0193', np.float64(0.9993220044622224)), ('C0120', np.float64(0.9991928526246553))]"
C0008,"[('C0194', np.float64(0.9993669805987332)), ('C0179', np.float64(0.9986864990487858)), ('C0139', np.float64(0.9976965787167642))]"
C0009,"[('C0077', np.float64(0.9999358433247266)), ('C0142', np.float64(0.9996422140211864)), ('C0032', np.float64(0.9991462446506736))]"
C0010,"[('C0029', np.float64(0.9998298903880369)), ('C0025', np.float64(0.9994906669506808)), ('C0002', np.float64(0.9991818003638689))]"
C0011,"[('C0183', np.float64(0.9947226071713872)), ('C0048', np.float64(0.9946779835821228)), ('C0016', np.float64(0.9932131637915763))]"
C0012,"[('C0102', np.float64(0.9962450399402291)), ('C0145', np.float64(0.991152349898723)), ('C0188', np.float64(0.9898164696443068))]"
C0013,"[('C0045', np.float64(0.9999912959125382)), ('C0153', np.float64(0.9997485587226153)), ('C0059', np.float64(0.9997185548987123))]"
C0014,"[('C0015', np.float64(0.9999527058752842)), ('C0058', np.float64(0.9999345950947911)), ('C0151', np.float64(0.9999059818196546))]"
C0015,"[('C0058', np.float64(0.9999848310059165)), ('C0131', np.float64(0.99995381039632)), ('C0014', np.float64(0.9999527058752842))]"
C0016,"[('C0048', np.float64(0.9999108050862924)), ('C0183', np.float64(0.9999049142743388)), ('C0064', np.float64(0.9979477170891812))]"
C0017,"[('C0162', np.float64(0.9999312713015618)), ('C0124', np.float64(0.9996520686321231)), ('C0090', np.float64(0.9973909970658704))]"
C0018,"[('C0200', np.float64(0.999999182192138)), ('C0170', np.float64(0.9999735409457393)), ('C0182', np.float64(0.999956358653078))]"
C0019,"[('C0172', np.float64(0.9999805686568761)), ('C0116', np.float64(0.9605762021423148)), ('C0034', np.float64(0.8817294069115329))]"
C0020,"[('C0110', np.float64(0.999994691081227)), ('C0078', np.float64(0.9999277519578567)), ('C0080', np.float64(0.9999018854141536))]"
